,lat,lon,alt,type,id
100,49.25878008010073,-123.24244271468933,,prediction,79.0
101,49.25876958469942,-123.24242328582719,,prediction,80.0
102,49.25876480195111,-123.24241443210593,,prediction,81.0
103,49.25876013742527,-123.24240579723559,,prediction,82.0
104,49.25875444883377,-123.24239526663682,,prediction,83.0
105,49.258752568118396,-123.2423917850968,,prediction,84.0
106,49.25874740722159,-123.24238223135515,,prediction,85.0
107,49.258743141308706,-123.24237433438856,,prediction,86.0
108,49.258738270985994,-123.24236531855145,,prediction,87.0
109,49.25884347486255,-123.24245252748925,,prediction,88.0
110,49.25883611119645,-123.2424452193875,,prediction,89.0
111,49.25883076688051,-123.24243991539842,,prediction,90.0
112,49.258822145519794,-123.24243135909231,,prediction,91.0
113,49.25881029183415,-123.24241959485158,,prediction,92.0
114,49.25879117831981,-123.24240062556298,,prediction,93.0
115,49.25878263152847,-123.24239214326356,,prediction,94.0
116,49.25877418671259,-123.24238376217014,,prediction,95.0
117,49.25876398401306,-123.24237363645757,,prediction,96.0
118,49.25876028615854,-123.24236996650613,,prediction,97.0
119,49.25875074918027,-123.24236050149149,,prediction,98.0
120,49.25874235447283,-123.24235217012838,,prediction,99.0
121,49.258733231824706,-123.24234311631746,,prediction,100.0
122,49.258718239997826,-123.24232823761511,,prediction,101.0
123,49.25887132186036,-123.24243794511726,,prediction,102.0
124,49.25886208394732,-123.24243079015548,,prediction,103.0
125,49.25885518058848,-123.24242544335601,,prediction,104.0
126,49.25884418202618,-123.24241692473363,,prediction,105.0
127,49.258829072937424,-123.24240522242036,,prediction,106.0
128,49.25880474984046,-123.24238638366013,,prediction,107.0
129,49.2587939376691,-123.24237800940153,,prediction,108.0
130,49.258783171309005,-123.24236967062475,,prediction,109.0
131,49.258770170971864,-123.24235960158482,,prediction,110.0
132,49.258765289910905,-123.24235582109843,,prediction,111.0
133,49.25875294009073,-123.24234625589786,,prediction,112.0
134,49.25874183929249,-123.24233765809154,,prediction,113.0
135,49.25872989293672,-123.2423284053828,,prediction,114.0
136,49.25871001297452,-123.24231300792573,,prediction,115.0
137,49.258677595895165,-123.24228790020256,,prediction,116.0
138,49.258901033981935,-123.24242238605366,,prediction,117.0
139,49.258889993997,-123.24241528465186,,prediction,118.0
140,49.25888151674969,-123.24240983171512,,prediction,119.0
141,49.25886814352079,-123.24240122946863,,prediction,120.0
142,49.258849750806824,-123.24238939846948,,prediction,121.0
143,49.25882007015806,-123.24237030657633,,prediction,122.0
144,49.25880688424697,-123.24236182482085,,prediction,123.0
145,49.25879361552378,-123.24235328979697,,prediction,124.0
146,49.25877751799167,-123.24234293515933,,prediction,125.0
147,49.25877126984104,-123.24233891607521,,prediction,126.0
148,49.25875561739079,-123.2423288477337,,prediction,127.0
149,49.25874119723451,-123.24231957205765,,prediction,128.0
150,49.25872561282726,-123.2423095474844,,prediction,129.0
151,49.25869884105536,-123.24229232670822,,prediction,130.0
152,49.258651138177235,-123.24226164212786,,prediction,131.0
153,49.258607215965796,-123.24223338943789,,prediction,132.0
154,49.25893725462565,-123.2424034187343,,prediction,133.0
155,49.25892371958036,-123.24239654831277,,prediction,134.0
156,49.25891305628655,-123.24239113559919,,prediction,135.0
157,49.258896434468184,-123.24238269832422,,prediction,136.0
158,49.25887363153319,-123.24237112349958,,prediction,137.0
159,49.25883700720519,-123.24235253290261,,prediction,138.0
160,49.25882086974041,-123.24234434148669,,prediction,139.0
161,49.25880458973491,-123.24233607771674,,prediction,140.0
162,49.25878493825697,-123.2423261025793,,prediction,141.0
163,49.25877719314203,-123.24232217114033,,prediction,142.0
164,49.25875813224945,-123.24231249578541,,prediction,143.0
165,49.25874063064663,-123.24230361192973,,prediction,144.0
166,49.25872213476995,-123.24229422337825,,prediction,145.0
167,49.25869145235969,-123.24227864891303,,prediction,146.0
168,49.25864400859569,-123.24225456634433,,prediction,147.0
169,49.25861658539492,-123.24224064626168,,prediction,148.0
170,49.258625653398724,-123.24224524920221,,prediction,149.0
171,49.258777305555554,-123.24260088888889,,truth,
172,49.258631972222226,-123.24228380555556,,truth,
173,49.258781472222225,-123.24232672222222,,truth,
174,49.2586105,-123.24265483333333,,truth,
